year,co2_on_p05_ppm,co2_on_p50_ppm,co2_on_p95_ppm,co2_off_p05_ppm,co2_off_p50_ppm,co2_off_p95_ppm,tas_on_p50_c,tas_off_p50_c
2077,370.40487716919625,375.4632157099621,378.3510814660069,406.65546499586276,418.1567432248961,425.4825102928062,1.5848700940207447,1.848441558435093
2078,369.37012174435915,374.43575689500085,377.2856596109225,406.2709995141534,417.91970500573086,425.2806542654893,1.5776007646238084,1.8460038862856167
2079,368.34487686447005,373.43703329766106,376.2764754197676,405.9121614557833,417.688049741236,425.0906445574061,1.5803209789754984,1.850270921745695
2080,367.3301352979305,372.3991638632354,375.22545769275007,405.55828707893284,417.47676193531566,424.9394263123046,1.5807998849049425,1.859807548009887
2081,366.32726480645647,371.40526603606384,374.18641525996753,405.2091481622184,417.2578493853617,424.7772199741582,1.5866632847653874,1.8742428974127998
2082,365.3510044323028,370.42181771991784,373.16392179509626,404.8649968469888,417.04959762701577,424.62636265610286,1.5840908702702956,1.8751961213552255
2083,364.36893399478316,369.4439618392154,372.14283604776193,404.52543094550185,416.8461261443457,424.4868752047617,1.5799391744121785,1.869914549926755
2084,363.38031108687187,368.4625182049772,371.1619025514036,404.1903333129762,416.64410841190966,424.3442100976985,1.575386492528476,1.8764168553634022
2085,362.42342786636414,367.49171760691877,370.1264938756187,403.859660274271,416.44132881429096,424.19842868893966,1.5643946140600498,1.8796347184612425
2086,361.46521087581806,366.53040513345206,369.1611311864266,403.5293280495425,416.2382701731647,424.07738959653284,1.5578225875431781,1.871826728828757
2087,360.5063316894191,365.58099573094046,368.2231821734405,403.20384783677736,416.0487532227427,423.94570788662065,1.552475855364848,1.8768018099219508
2088,359.5586914799347,364.6353045137353,367.2549547558493,402.8877806480457,415.8393702430201,423.8128250924055,1.5562644142877171,1.8851154156630026
2089,358.61825317481095,363.7002816304295,366.3263829816929,402.575522285738,415.6687220554598,423.69621719571677,1.5569321342639957,1.8912304846123122
2090,357.683277952832,362.77216868852986,365.40845531758987,402.23773303940726,415.4853496363639,423.57090146868285,1.5454286131764365,1.889509129019534
2091,356.75811412980687,361.84675838354826,364.4637543455929,401.92130799128654,415.3217725161259,423.44672166177156,1.547215704318033,1.9002526839353735
2092,355.83959937428506,360.93105764402065,363.5425968848482,401.60851304684365,415.1509560409409,423.33417884569616,1.5590443820853013,1.9107670465140631
2093,354.9307163573641,360.0260321339677,362.6283374652203,401.303630305112,414.9815929484479,423.2245887979301,1.56559601844547,1.9188467974457974
2094,354.032468875517,359.12832422499355,361.70723032810736,400.9984570125756,414.81507697067167,423.12025838574937,1.567876830753401,1.937295122674775
2095,353.1381866107706,358.2262956841787,360.8085707292873,400.6991235784109,414.66314227730163,423.0173202332701,1.5657364371386708,1.9366332060153186
2096,352.249883510602,357.32862503140575,359.8743258826051,400.40150869297423,414.50833095090184,422.91968172093937,1.566750310849376,1.9364722045503546
2097,351.3712679404987,356.43715435255547,358.98468621775953,400.1106204982166,414.36795409258696,422.8336601244845,1.5592072305200935,1.942050164741546
2098,350.4972492462215,355.5446643612121,358.0724484832068,399.81160734837476,414.2215334652965,422.74852696392963,1.5460522067652935,1.9410347147500306
2099,349.6224549103414,354.66863836261075,357.18422630562475,399.52634627887755,414.07747728373363,422.6602041905782,1.5243613224660029,1.928392958249536
2100,348.7602280472439,353.79757260164183,356.3455691518382,399.2169644074544,413.9327699071122,422.57680296072476,1.538508412530982,1.9339520645179105
2101,347.89521322136466,352.921426913506,355.4715321170532,398.9262856277455,413.7798533721013,422.49668417725445,1.536351122898738,1.9454875466311672
2102,347.03258324197014,352.06798517787956,354.6162329029703,398.62378259384866,413.63494847615823,422.42203282020637,1.531933358476127,1.9514875566157335
2103,346.17711089604967,351.1946385594372,353.77219684570815,398.3301136274316,413.50283817991544,422.3459527015009,1.5333716665399073,1.960025394071116
2104,345.3330778526996,350.3355384096521,352.8946004443205,398.0411564443337,413.3774858467972,422.2772142093877,1.5411993223240286,1.9653764914329408
2105,344.5021001403879,349.48378952677666,352.0478038501905,397.77528237298446,413.24249184295064,422.20426489898296,1.542589162161556,1.9742473783016006
2106,343.69423996852527,348.6552659245392,351.2057209428724,397.5159986151948,413.10801369188425,422.13692928279636,1.5303498132773155,1.9601499114014145
2107,342.8467637986843,347.83320827956925,350.3717702258806,397.2669497286566,412.9684404172661,422.06695158302534,1.5285622022835095,1.974006564582363
2108,342.02539468140645,347.02089141645916,349.5766993532071,397.0285308441838,412.8483375117548,422.00038766027126,1.5082734527584991,1.9628462790040457
2109,341.23367106222827,346.19395093806236,348.7515810814238,396.7777804484201,412.7232631807922,421.94153761309366,1.50331163340197,1.9587536809502375
2110,340.4566903365078,345.36222769420567,347.90142758086347,396.5348435927573,412.6003719350496,421.8867492726023,1.5053301740022123,1.9635521668317446
2111,339.6939110161577,344.5359334938229,347.10029357003776,396.2888650697288,412.4858022538008,421.8253471734872,1.5070920748429102,1.9688039287156007
2112,338.92977284459784,343.7200931959244,346.27360666389234,396.0390674022682,412.3643920256045,421.76365584254165,1.499418822064934,1.9723083348020845
2113,338.16840305555405,342.92032016491413,345.464017674459,395.79305125293195,412.24680043165654,421.7110037380925,1.4995923543872445,1.9793665405630414
2114,337.38957467798576,342.111342955904,344.6740711475131,395.55298173316186,412.14029639332296,421.66261855629364,1.4913531251082404,1.9893751919785794
2115,336.60133327384546,341.2949734558657,343.8755229739167,395.3363346064166,412.01922654299847,421.6101109296195,1.496089972358969,1.993364750509017
2116,335.8165199847228,340.50201088711805,343.07047498163854,395.119027773786,411.9139223608032,421.53956570098956,1.4803341459004207,1.9934778008442315
2117,335.0417361617713,339.72150961948483,342.27499785747796,394.9067660261619,411.8003550787112,421.4780660034858,1.471446881923218,1.98891356466154
2118,334.27246804106056,338.9234936751794,341.4989621487432,394.7060556148149,411.6870569668438,421.41494165708536,1.4720376711831138,1.9830479875606875
